,tconst,averageRating,numVotes
83491,tt0111161,9.3,2887541
254582,tt0468569,9.0,2869622
661584,tt1375666,8.8,2549806
100182,tt0137523,8.8,2322704
443597,tt0944947,9.2,2283097
82392,tt0109830,8.8,2255934
83274,tt0110912,8.9,2219173
432586,tt0903747,9.5,2134787
404270,tt0816692,8.7,2098447
97967,tt0133093,8.7,2052275
47028,tt0068646,9.2,2011552
91296,tt0120737,8.9,2006369
115915,tt0167260,9.0,1978464
646471,tt1345836,8.4,1826610
86052,tt0114369,8.6,1798296
115916,tt0167261,8.8,1783154
831578,tt1853728,8.5,1694318
118474,tt0172495,8.5,1619448
208431,tt0361748,8.4,1583299
457025,tt0993846,8.2,1582409
213650,tt0372784,8.2,1577987
76629,tt0102926,8.6,1547654
91358,tt0120815,8.6,1495952
1321430,tt7286456,8.4,1487609
415512,tt0848228,8.0,1459001
535045,tt1130884,8.2,1455856
80894,tt0108052,9.0,1450105
54072,tt0076759,8.6,1449170
260589,tt0482571,8.5,1440663
229694,tt0407887,8.5,1421761
91262,tt0120689,8.6,1406735
267102,tt0499549,7.9,1386070
57487,tt0080684,8.7,1379288
49588,tt0071562,9.0,1363704
1161019,tt4574334,8.7,1335145
137351,tt0209144,8.4,1322481
64429,tt0088763,8.5,1306259
90984,tt0120338,7.9,1279908
864706,tt2015381,8.0,1272931
1134980,tt4154796,8.4,1265102
73900,tt0099685,8.7,1256872
82861,tt0110413,8.5,1245260
117134,tt0169547,8.3,1210562
194146,tt0325980,8.1,1210009
1134978,tt4154756,8.4,1202618
434567,tt0910970,8.4,1200039
91022,tt0120382,8.2,1195723
164256,tt0266697,8.2,1193285
91186,tt0120586,8.5,1185907
241090,tt0434409,8.2,1179018
76742,tt0103064,8.6,1173608
86409,tt0114814,8.5,1145025
82811,tt0110357,8.5,1141784
688944,tt1431045,8.0,1125071
487593,tt1049413,8.3,1124536
213159,tt0371746,7.9,1124525
62220,tt0086190,8.3,1121096
164194,tt0266543,8.2,1113058
58190,tt0081505,8.4,1106129
163259,tt0264464,8.1,1095043
84605,tt0112573,8.3,1091055
78552,tt0105236,8.3,1087847
81488,tt0108778,8.9,1087618
669892,tt1392190,8.1,1085729
731868,tt1520211,8.1,1081403
198727,tt0338013,8.3,1077641
51249,tt0073486,8.7,1072051
86326,tt0114709,8.3,1068180
90027,tt0119217,8.3,1067412
926013,tt2267998,8.1,1066933
80274,tt0107290,8.2,1066694
258106,tt0477348,8.2,1059759
116002,tt0167404,8.2,1050970
59474,tt0082971,8.4,1036646
669886,tt1392170,7.2,1003409
711070,tt1475582,9.1,997633
973713,tt2582802,8.5,988621
165289,tt0268978,8.2,986656
132367,tt0198781,8.1,978525
964264,tt2488496,7.8,973519
1294231,tt6751668,8.5,958605
55808,tt0078748,8.5,950065
572798,tt1201607,8.1,948136
69858,tt0095016,8.2,945306
787350,tt1675434,8.5,928982
1102963,tt3659388,8.0,924836
63989,tt0088247,8.1,923863
953142,tt2395427,7.3,921439
52825,tt0075314,8.2,920239
62277,tt0086250,8.3,916106
157812,tt0253474,8.5,911782
136857,tt0208092,8.2,910555
398180,tt0800369,7.0,899930
621864,tt1300854,7.1,898969
829334,tt1843866,7.7,898812
122394,tt0180093,8.3,898373
250822,tt0458339,6.9,896570
241614,tt0435761,8.3,892223
928219,tt2278388,8.1,886243
45480,tt0066921,8.3,881062
104280,tt0145487,7.4,879391
508425,tt10872600,8.2,878452
463962,tt1010048,8.0,877612
784138,tt1663202,8.0,874052
432553,tt0903624,7.8,872788
586673,tt1228705,6.9,868277
431265,tt0898266,8.1,867407
30757,tt0050083,9.0,864616
233177,tt0416449,7.6,863997
700373,tt1454468,7.7,863047
89590,tt0118715,8.1,860089
91425,tt0120915,6.5,856181
152104,tt0241527,7.6,855781
550297,tt1160419,8.0,853281
154593,tt0246578,8.0,849820
1091427,tt3498820,7.8,849682
153997,tt0245429,8.6,848905
1313444,tt7131622,7.6,847316
528398,tt1119646,7.7,845951
91898,tt0121766,7.6,845128
822993,tt1825683,7.3,837333
1078250,tt3315342,8.1,830997
878265,tt2084970,8.0,824753
218358,tt0382932,8.1,824521
444596,tt0947798,8.0,824355
60065,tt0083658,8.1,822837
1091688,tt3501632,7.9,815750
574928,tt1205489,8.1,814790
259531,tt0480249,7.2,813894
388607,tt0770828,7.1,811703
39677,tt0060196,8.8,810917
72071,tt0097576,8.2,810746
669903,tt1392214,8.2,809099
190356,tt0317705,8.0,808302
216024,tt0378194,8.0,805120
578324,tt1211837,7.5,804624
190148,tt0317248,8.6,800720
429834,tt0892769,8.1,800353
138750,tt0211915,8.3,794024
227186,tt0401792,8.0,793670
68151,tt0093058,8.3,790145
837177,tt1877830,7.8,786502
881598,tt2096673,8.1,785025
1394098,tt8946378,7.9,773412
969722,tt2543164,7.9,770590
218673,tt0383574,7.4,767408
389363,tt0773262,8.6,765475
66038,tt0090605,8.4,762760
1119400,tt3896198,7.6,759291
91897,tt0121765,6.6,758690
614088,tt1285016,7.8,758398
1040504,tt2975590,6.5,752301
837178,tt1877832,7.9,744934
89664,tt0118799,8.6,742939
485143,tt1045658,7.7,742587
867046,tt2024544,8.1,741119
1186288,tt5013056,7.8,739783
1029472,tt2911666,7.4,738808
774936,tt1631867,7.9,736524
