,tconst,averageRating,numVotes
1001463,tt27531070,7.7,200
1107132,tt3717088,5.0,200
576032,tt1207652,3.5,200
22391,tt0040016,7.2,200
391532,tt0780461,5.6,200
86099,tt0114426,6.9,200
120049,tt0175803,7.1,200
1267234,tt6254266,6.9,200
764065,tt1595844,2.9,200
20927,tt0038275,6.1,200
52280,tt0074684,4.6,200
43924,tt0065137,6.4,200
1106723,tt3711708,6.9,200
83971,tt0111780,3.7,200
105973,tt0149022,4.6,200
144666,tt0224634,4.7,200
1090396,tt3484324,6.5,200
707627,tt1468730,5.7,200
34281,tt0054117,5.7,200
724870,tt1506332,8.0,200
143799,tt0222425,6.8,200
570682,tt11976170,5.9,200
71763,tt0097208,4.4,200
519265,tt11052346,6.6,200
85175,tt0113260,4.6,200
44050,tt0065273,6.8,200
1161429,tt4581026,4.4,200
215630,tt0377245,8.1,200
82471,tt0109933,4.6,200
901094,tt2162745,7.3,200
1424623,tt9733886,4.5,200
879784,tt2088888,3.5,200
1119848,tt3901250,7.3,200
70291,tt0095527,6.6,200
492495,tt10578206,5.1,200
1425686,tt9766814,3.8,200
122873,tt0180876,6.8,200
158365,tt0254791,5.9,200
32170,tt0051712,6.2,200
113641,tt0163159,3.8,200
1026378,tt2883264,7.0,200
94016,tt0125099,6.9,200
734960,tt1526695,8.1,200
1235952,tt5781778,7.3,200
109728,tt0155088,6.4,200
467931,tt10166880,6.6,200
158158,tt0254254,8.5,200
455973,tt0989633,4.3,200
10120,tt0024978,6.1,200
829746,tt1846055,5.5,200
139950,tt0214705,2.8,200
1389305,tt8822370,4.6,200
1354070,tt7977594,7.4,200
995031,tt27206885,7.7,200
25974,tt0044449,6.0,200
12973,tt0028637,5.0,200
15373,tt0031645,5.1,200
139875,tt0214557,5.6,200
1024553,tt2871776,3.7,200
829662,tt1845515,6.2,200
521327,tt11084664,4.3,200
1020471,tt28496539,4.6,200
22131,tt0039701,5.7,200
822615,tt1824752,5.5,200
39068,tt0059500,7.2,200
147043,tt0230172,5.5,200
1191176,tt5086384,4.7,200
925848,tt2266678,7.2,200
1300543,tt6864006,6.1,200
1374231,tt8443556,3.7,200
166835,tt0272226,6.0,200
149662,tt0235944,6.8,200
44728,tt0066052,5.2,200
963450,tt2480794,5.5,200
527521,tt11182546,3.4,200
1101864,tt3645178,3.4,200
895615,tt2139869,6.3,200
147321,tt0230734,7.7,200
13962,tt0029895,6.5,200
1102044,tt3648112,7.9,200
1299081,tt6842116,8.0,200
1102098,tt3649128,4.3,200
836868,tt1876612,3.5,200
227157,tt0401726,6.1,200
661613,tt1375754,3.4,200
1012622,tt2806258,6.9,200
1003259,tt27610971,9.0,200
1325149,tt7368268,6.7,200
1013658,tt28115317,4.9,200
1278216,tt6427156,4.8,200
891257,tt2126311,8.0,200
1295978,tt6781638,6.7,200
195663,tt0330039,5.5,200
769994,tt1617636,6.9,200
1390356,tt8852242,6.2,200
75741,tt0101876,4.3,200
890296,tt2123927,7.3,200
44135,tt0065372,6.2,200
224185,tt0395429,4.5,200
1381604,tt8631432,2.8,200
1228600,tt5662158,7.8,200
1215019,tt5461692,6.7,200
1116151,tt3842468,7.7,200
890686,tt2124818,7.0,200
113899,tt0163627,6.0,200
1019678,tt2846372,2.6,200
44322,tt0065584,5.8,200
613974,tt12847802,7.4,200
641586,tt1337061,6.7,200
1340057,tt7686386,4.6,200
641617,tt13371044,3.1,200
1146992,tt4351710,3.0,200
17704,tt0034394,6.1,200
1390721,tt8862524,7.6,200
174305,tt0285730,6.7,200
56429,tt0079454,6.5,200
981382,tt26452638,6.6,200
1002693,tt27582860,8.3,200
72721,tt0098314,6.0,200
466375,tt10143114,5.2,200
144185,tt0223323,5.8,200
1017145,tt28304310,5.6,200
1299243,tt6843704,5.2,200
132519,tt0199072,5.7,200
1008475,tt2783156,5.8,200
1195019,tt5138974,7.6,200
700501,tt1454607,5.0,200
1177218,tt4847138,7.6,200
19082,tt0036033,6.0,200
1134436,tt4146350,5.5,200
48345,tt0070162,5.9,200
146185,tt0228499,7.3,200
14715,tt0030839,5.6,200
866922,tt2024343,7.3,200
1176591,tt4837074,1.1,200
730411,tt1517189,6.0,200
551297,tt1162585,1.2,200
64411,tt0088744,6.6,200
578676,tt1212449,7.0,200
588511,tt12323880,5.6,200
413959,tt0843515,7.4,200
67128,tt0091892,7.1,200
1285636,tt6568190,6.4,200
74718,tt0100674,6.0,200
681785,tt14164102,4.2,200
250025,tt0456581,6.4,200
9773,tt0024501,6.1,200
1176429,tt4834712,7.1,200
80615,tt0107713,5.9,200
28793,tt0047822,7.2,200
1063027,tt3147284,3.9,200
677883,tt1409058,6.6,200
1248383,tt5969642,6.3,200
68143,tt0093049,5.1,200
88568,tt0117471,6.2,200
48442,tt0070274,6.5,200
1277974,tt6424188,3.1,200
96432,tt0129563,7.0,200
75064,tt0101085,6.9,200
97174,tt0131327,6.4,200
834569,tt1866269,6.1,200
19694,tt0036757,6.1,200
858272,tt1985235,3.3,200
152756,tt0242981,4.8,200
1311967,tt7095444,6.4,200
931187,tt2291904,6.9,200
178661,tt0294102,5.0,200
398133,tt0800281,3.6,200
471789,tt10228180,6.1,200
5055,tt0016762,6.6,200
178798,tt0294380,6.2,200
110677,tt0157030,6.8,200
787094,tt1674713,6.3,200
178097,tt0292964,4.9,200
1055030,tt3090326,6.5,200
833681,tt1861358,6.8,200
132626,tt0199278,3.0,200
1178017,tt4861048,7.0,200
29860,tt0049050,5.4,200
266431,tt0497941,4.7,200
